"",""
"Action","Action"
"Add Customer for sending discount","Add Customer for sending discount"
"An error occurred while updating the customers for sending discount.","An error occurred while updating the customers for sending discount."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Could not find customer for sending discount to delete.","Could not find customer for sending discount to delete."
"Created at","Created at"
"Customer IP","Customer IP"
"Customer Status","Customer Status"
"Customer for sending discount was saved","Customer for sending discount was saved"
"Customer for sending discount was successfully deleted.","Customer for sending discount was successfully deleted."
"Customer for sending discount was successfully saved","Customer for sending discount was successfully saved"
"Customer for sending discount","Customer for sending discount"
"Customers for sending discount","Customers for sending discount"
"Delete Customer for sending discount","Delete Customer for sending discount"
"Delete","Delete"
"Disabled","Disabled"
"Edit Customer for sending discount '%s'","Edit Customer for sending discount '%s'"
"Edit","Edit"
"Email","Email"
"Enabled","Enabled"
"Error saving customer for sending discount","Error saving customer for sending discount"
"Excel","Excel"
"First name","First name"
"Home","Home"
"Id","Id"
"No","No"
"None","None"
"Phone","Phone"
"Please select customers for sending discount to delete.","Please select customers for sending discount to delete."
"Please select customers for sending discount.","Please select customers for sending discount."
"Product ID","Product ID"
"Reset","Reset"
"SKU","SKU"
"Save And Continue Edit","Save And Continue Edit"
"Save Customer for sending discount","Save Customer for sending discount"
"Store views","Store views"
"Surname","Surname"
"The customers for sending discount has been deleted.","The customers for sending discount has been deleted."
"There was a problem saving the customer for sending discount.","There was a problem saving the customer for sending discount."
"There was an error deleting customer for sending discount.","There was an error deleting customer for sending discount."
"There was an error deleting customers for sending discount.","There was an error deleting customers for sending discount."
"There was an error updating customers for sending discount.","There was an error updating customers for sending discount."
"This customer for sending discount no longer exists.","This customer for sending discount no longer exists."
"Total of %d customers for sending discount were successfully deleted.","Total of %d customers for sending discount were successfully deleted."
"Total of %d customers for sending discount were successfully updated.","Total of %d customers for sending discount were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find customer for sending discount to save.","Unable to find customer for sending discount to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"